id,age,gender,condition,side,choice,exclude,exclude_reason
1,2.74,M,0,0,0,0,
2,2.89,Unknown,1,1,1,0,
3,2.59,M,1,0,0,1,experimenter error
4,2.12,Unknown ,0,0,0,0,
5,2.52,Unknown ,1,1,1,0,
6,2.78,M,1,0,1,0,
7,2.44,F,1,0,1,0,
8,2.46,M,1,0,0,0,
9,2.55,M,1,0,NA,1,did not finish
10,2.97,Unknown,0,1,0,0,
11,2.32,F,0,0,1,0,
12,2.04,M,1,1,0,0,
13,2.64,M,1,0,1,0,
14,2.05,Other,1,0,1,0,
15,2.61,F,1,1,1,0,
16,2.93,M,0,0,1,0,
17,2.66,M,1,0,0,0,
18,2.2,Unknown,0,1,1,0,
19,2.19,M,0,1,0,0,
20,2.2,F,0,0,0,0,
21,2.89,M,0,1,1,0,
22,2.15,Unknown,1,1,1,0,
23,2.1,M,1,1,1,0,
24,2.75,F,0,1,1,0,
25,2,Unknown,0,1,1,1,tech error
26,2.15,Unknown,0,0,0,0,
27,NA,F,0,1,1,0,
28,2.24,Unknown,0,0,0,0,
29,2.35,M,0,0,0,0,
30,2.09,F,1,1,NA,1,experimenter error
31,2.8,M,1,1,1,0,
32,2.81,F,0,1,0,0,
33,2.42,F,1,0,0,0,
34,2.85,F,1,1,1,0,
35,2.38,M,1,0,0,1,parental interference
36,2.52,Unknown,0,1,0,0,
37,2.26,M,1,1,1,0,
38,2.45,F,0,0,0,1,tech error
39,2.47,M,0,0,0,0,
40,2.66,M,0,1,0,0,
41,2.43,M,1,0,1,1,experimenter error
42,2.99,M,1,0,0,0,
43,2.34,Unkown,1,0,NA,1,parental interference
44,2.54,M,1,0,1,0,
45,2.35,Unknown,1,1,0,0,
46,2.89,F,0,1,NA,1,did not finish
47,2.29,M,0,0,NA,1,did not finish
48,2.3,M,1,0,1,0,
49,2.19,F,0,1,NA,1,did not finish
50,2.59,F,0,0,0,0,
51,2.5,F,0,1,0,0,
52,2.32,F,1,0,NA,1,failure to make choice
53,2.08,F,0,0,0,0,
54,2.68,M,1,1,1,0,
55,2.79,F,0,1,1,0,
56,2.82,F,1,0,NA,1,experimenter error
57,2.01,M,1,0,0,0,
58,3.05,F,0,0,0,0,
59,2.73,F,1,0,0,0,
60,2.16,F,0,1,1,0,
61,2.16,M,1,1,1,0,
62,3.05,M,1,0,1,0,
63,2.4,M,0,1,NA,1,failure to make choice
64,2.2,M,1,1,NA,1,failure to make choice
65,2.5,F,0,0,0,0,
66,2.77,M,0,1,0,0,
67,2.19,Unknown,1,1,0,0,
68,2.81,M,1,0,NA,1,tech error
69,2.78,M,0,0,NA,1,failure to make choice
70,2.74,F,1,1,1,0,
71,2.4,F,0,1,1,0,
72,2.78,M,1,0,1,0,
73,3.03,M,0,0,0,0,
74,3.1,M,1,1,0,1,experimenter error 
75,2.69,Unknown ,0,1,NA,1,experimenter error 
76,2.59,Unknown ,0,0,0,1,tech error 
77,2.89,M,1,0,0,0,
78,2.64,M,1,1,0,1,tech error
79,2.64,M,0,1,0,0,
80,2.14,Unknown,0,0,NA,1,did not finish
81,2.04,M,1,1,1,0,
82,2.98,M,0,0,0,1,experimenter error
83,2.69,F,0,0,0,0,
